Entry #,Participant #,Group,Task,Cumulative Time,Per Task Time
10,1215,Whiteboard,1.1,0:33,0:33
11,1215,Whiteboard,1.2,0:37,0:04
12,1215,Whiteboard,1.3,0:45,0:08
13,1215,Whiteboard,1.4,1:01,0:16
14,1215,Whiteboard,1.5,1:25,0:24
15,1215,Whiteboard,1.6,1:38,0:13
16,1215,Whiteboard,1.7,1:55,0:17
17,1215,Whiteboard,1.8,2:20,0:25
18,1215,Whiteboard,1.9,2:36,0:16
1,1212,No Whiteboard,1.1,0:04,0:04
2,1212,No Whiteboard,1.2,0:25,0:21
3,1212,No Whiteboard,1.3,0:25,0:00
4,1212,No Whiteboard,1.4,1:05,0:40
5,1212,No Whiteboard,1.5,1:55,0:50
6,1212,No Whiteboard,1.6,2:01,0:06
7,1212,No Whiteboard,1.7,2:30,0:29
8,1212,No Whiteboard,1.8,3:00,0:30
9,1212,No Whiteboard,1.9,3:31,0:31
19,1214,No Whiteboard,1.1,0:17,0:17
20,1214,No Whiteboard,1.2,0:27,0:10
21,1214,No Whiteboard,1.3,0:40,0:13
22,1214,No Whiteboard,1.4,0:53,0:13
23,1214,No Whiteboard,1.5,1:18,0:25
24,1214,No Whiteboard,1.6,1:28,0:10
25,1214,No Whiteboard,1.7,1:52,0:24
26,1214,No Whiteboard,1.8,2:28,0:36
27,1214,No Whiteboard,1.9,2:48,0:20
28,1213,Whiteboard,1.1,0:05,0:05
29,1213,Whiteboard,1.2,0:25,0:20
30,1213,Whiteboard,1.3,0:29,0:04
31,1213,Whiteboard,1.4,0:43,0:14
32,1213,Whiteboard,1.5,1:12,0:29
33,1213,Whiteboard,1.6,1:32,0:20
34,1213,Whiteboard,1.7,1:38,0:06
35,1213,Whiteboard,1.8,3:15,1:37
36,1213,Whiteboard,1.9,3:59,0:44
37,1312,Whiteboard,1.1,0:10,0:10
38,1312,Whiteboard,1.2,0:35,0:25
39,1312,Whiteboard,1.3,0:43,0:08
40,1312,Whiteboard,1.4,0:58,0:15
41,1312,Whiteboard,1.5,1:55,0:57
42,1312,Whiteboard,1.6,2:06,0:11
43,1312,Whiteboard,1.7,2:10,0:04
44,1312,Whiteboard,1.8,2:30,0:20
45,1312,Whiteboard,1.9,2:52,0:22
46,1412,No Whiteboard,1.1,0:09,0:09
47,1412,No Whiteboard,1.2,0:20,0:11
48,1412,No Whiteboard,1.3,0:28,0:08
49,1412,No Whiteboard,1.4,0:43,0:15
50,1412,No Whiteboard,1.5,1:20,0:37
51,1412,No Whiteboard,1.6,1:29,0:09
52,1412,No Whiteboard,1.7,1:35,0:06
53,1412,No Whiteboard,1.8,1:45,0:10
54,1412,No Whiteboard,1.9,2:50,1:05
55,1413,No Whiteboard,1.1,0:12,0:12
56,1413,No Whiteboard,1.2,0:24,0:12
57,1413,No Whiteboard,1.3,0:35,0:11
58,1413,No Whiteboard,1.4,0:50,0:15
59,1413,No Whiteboard,1.5,1:16,0:26
60,1413,No Whiteboard,1.6,1:30,0:14
61,1413,No Whiteboard,1.7,1:43,0:13
62,1413,No Whiteboard,1.8,2:00,0:17
63,1413,No Whiteboard,1.9,3:30,1:30
64,1514,Whiteboard,1.1,0:05,0:05
65,1514,Whiteboard,1.2,0:10,0:05
66,1514,Whiteboard,1.3,0:11,0:01
67,1514,Whiteboard,1.4,0:24,0:13
68,1514,Whiteboard,1.5,1:03,0:39
69,1514,Whiteboard,1.6,1:14,0:11
70,1514,Whiteboard,1.7,1:36,0:22
71,1514,Whiteboard,1.8,2:00,0:24
72,1514,Whiteboard,1.9,2:30,0:30
73,1612,Whiteboard,1.1,0:16,0:16
74,1612,Whiteboard,1.2,0:24,0:08
75,1612,Whiteboard,1.3,0:34,0:10
76,1612,Whiteboard,1.4,0:40,0:06
77,1612,Whiteboard,1.5,1:14,0:34
78,1612,Whiteboard,1.6,1:55,0:41
79,1612,Whiteboard,1.7,2:05,0:10
80,1612,Whiteboard,1.8,2:15,0:10
81,1612,Whiteboard,1.9,2:40,0:25
82,1613,No Whiteboard,1.1,0:20,0:20
83,1613,No Whiteboard,1.2,0:32,0:12
84,1613,No Whiteboard,1.3,0:45,0:13
85,1613,No Whiteboard,1.4,1:01,0:16
86,1613,No Whiteboard,1.5,3:17,2:16
87,1613,No Whiteboard,1.6,3:29,0:12
88,1613,No Whiteboard,1.7,3:49,0:20
89,1613,No Whiteboard,1.8,4:05,0:16
90,1613,No Whiteboard,1.9,5:03,0:58
91,1614,No Whiteboard,1.1,0:55,0:55
92,1614,No Whiteboard,1.2,1:17,0:22
93,1614,No Whiteboard,1.3,1:56,0:39
94,1614,No Whiteboard,1.4,2:11,0:15
95,1614,No Whiteboard,1.5,7:11,5:00
96,1614,No Whiteboard,1.6,7:25,0:14
97,1614,No Whiteboard,1.7,7:42,0:17
98,1614,No Whiteboard,1.8,9:43,2:01
99,1614,No Whiteboard,1.9,11:07,1:24
100,1712,No Whiteboard,1.1,0:10,0:10
101,1712,No Whiteboard,1.2,0:21,0:11
102,1712,No Whiteboard,1.3,0:32,0:11
103,1712,No Whiteboard,1.4,0:45,0:13
104,1712,No Whiteboard,1.5,1:45,1:00
105,1712,No Whiteboard,1.6,1:47,0:02
106,1712,No Whiteboard,1.7,2:12,0:25
107,1712,No Whiteboard,1.8,3:09,0:57
108,1712,No Whiteboard,1.9,4:36,1:27
109,1713,Whiteboard,1.1,0:18,0:18
110,1713,Whiteboard,1.2,0:26,0:08
111,1713,Whiteboard,1.3,0:32,0:06
112,1713,Whiteboard,1.4,0:52,0:20
113,1713,Whiteboard,1.5,1:13,0:21
114,1713,Whiteboard,1.6,1:22,0:09
115,1713,Whiteboard,1.7,1:46,0:24
116,1713,Whiteboard,1.8,2:05,0:19
117,1713,Whiteboard,1.9,2:47,0:42
118,1714,Whiteboard,1.1,0:03,0:03
119,1714,Whiteboard,1.2,0:08,0:05
120,1714,Whiteboard,1.3,0:13,0:05
121,1714,Whiteboard,1.4,0:27,0:14
122,1714,Whiteboard,1.5,1:05,0:38
123,1714,Whiteboard,1.6,1:17,0:12
124,1714,Whiteboard,1.7,1:35,0:18
125,1714,Whiteboard,1.8,1:44,0:09
126,1714,Whiteboard,1.9,2:24,0:40
127,1715,No Whiteboard,1.1,0:07,0:07
128,1715,No Whiteboard,1.2,0:21,0:14
129,1715,No Whiteboard,1.3,0:27,0:06
130,1715,No Whiteboard,1.4,0:42,0:15
131,1715,No Whiteboard,1.5,1:01,0:19
132,1715,No Whiteboard,1.6,1:12,0:11
133,1715,No Whiteboard,1.7,1:25,0:13
134,1715,No Whiteboard,1.8,1:38,0:13
135,1715,No Whiteboard,1.9,2:45,1:07
136,1812,Whiteboard,1.1,0:11,0:11
137,1812,Whiteboard,1.2,0:21,0:10
138,1812,Whiteboard,1.3,0:26,0:05
139,1812,Whiteboard,1.4,0:39,0:13
140,1812,Whiteboard,1.5,0:53,0:14
141,1812,Whiteboard,1.6,1:00,0:07
142,1812,Whiteboard,1.7,1:16,0:16
143,1812,Whiteboard,1.8,1:31,0:15
144,1812,Whiteboard,1.9,2:35,1:04
145,1813,No Whiteboard,1.1,0:20,0:20
146,1813,No Whiteboard,1.2,0:29,0:09
147,1813,No Whiteboard,1.3,0:35,0:06
148,1813,No Whiteboard,1.4,0:48,0:13
149,1813,No Whiteboard,1.5,2:13,1:25
150,1813,No Whiteboard,1.6,2:21,0:08
151,1813,No Whiteboard,1.7,2:58,0:37
152,1813,No Whiteboard,1.8,4:41,1:43
153,1813,No Whiteboard,1.9,6:54,2:13
154,1913,Whiteboard,1.1,0:05,0:05
155,1913,Whiteboard,1.2,0:10,0:05
156,1913,Whiteboard,1.3,0:17,0:07
157,1913,Whiteboard,1.4,0:39,0:22
158,1913,Whiteboard,1.5,0:54,0:15
159,1913,Whiteboard,1.6,1:05,0:11
160,1913,Whiteboard,1.7,1:24,0:19
161,1913,Whiteboard,1.8,2:00,0:36
162,1913,Whiteboard,1.9,2:02,0:02
163,2012,No Whiteboard,1.1,0:11,0:11
164,2012,No Whiteboard,1.2,0:21,0:10
165,2012,No Whiteboard,1.3,0:26,0:05
166,2012,No Whiteboard,1.4,0:41,0:15
167,2012,No Whiteboard,1.5,1:01,0:20
168,2012,No Whiteboard,1.6,1:11,0:10
169,2012,No Whiteboard,1.7,1:23,0:12
170,2012,No Whiteboard,1.8,1:40,0:17
171,2012,No Whiteboard,1.9,2:31,0:51
172,2020,Whiteboard,1.1,0:08,0:08
173,2020,Whiteboard,1.2,0:17,0:09
174,2020,Whiteboard,1.3,0:23,0:06
175,2020,Whiteboard,1.4,0:40,0:17
176,2020,Whiteboard,1.5,1:11,0:31
177,2020,Whiteboard,1.6,1:22,0:11
178,2020,Whiteboard,1.7,1:33,0:11
179,2020,Whiteboard,1.8,1:47,0:14
180,2020,Whiteboard,1.9,2:10,0:23
181,1414,Whiteboard,1.1,0:10,0:10
182,1414,Whiteboard,1.2,0:18,0:08
183,1414,Whiteboard,1.3,0:26,0:08
184,1414,Whiteboard,1.4,0:43,0:17
185,1414,Whiteboard,1.5,1:58,1:15
186,1414,Whiteboard,1.6,2:18,0:20
187,1414,Whiteboard,1.7,2:38,0:20
188,1414,Whiteboard,1.8,2:59,0:21
189,1414,Whiteboard,1.9,3:58,0:59
